1,zsh,oh-my-zsh,zsh,
2,zsh,oh,zsh,
3,adobe-xd,adobe,xd,
4,wordpress,wordpress,wp,
5,World-of-warcraft,warcraft,world,
6,word2vec,vec,word,
7,Bag-of-words,bag,word,
8,wifi,fi,wi,
9,website,pesonal,website,
10,android-wear,android,wear,
11,cv,curriculum,vitae,
12,computer-vision,computer,vision,
13,doc2vec,doc,vec,
14,url-shortener,shortener,url,
15,url-shortener,shorten,url,
16,Unreal-engine,engine,unreal,
17,typescript,ts,typescript,
18,Turing-machine,machine,turing,
19,decision-tree,decision,tree,
20,Travelling-salesman-problem,salesman,travelling,
21,eye-tracking,eye,tracking,
22,fault-tolerance,fault,tolerance,
23,open-tok,open,tok,
24,Tic-tac-toe,tic,toe,tac
25,series-time,series,time,
26,Real-time,real,time,
27,Game-of-thrones,game,throne,
28,Internet-of-things,internet,thing,
29,plain-text,plain,text,
30,multi-tenant,multi,tenant,
31,note-taking,note,taking,
32,File-system,file,system,
33,os,operating,system,
34,Recommender-system,recommender,system,
35,Syntax-highlighting,highlighting,syntax,
36,semi-supervised,semi,supervised,
37,publish-subscribe,publish,subscribe,
38,data-structure,data,structure,
39,full-stack,full,stack,
40,sql,alchemy,sql,
41,Text-to-speech,text,speech,
42,Minimum-spanning-tree,minimum,spanning,tree
43,open-source,open,source,
44,problem-solving,problem,solving,
45,Single-page,page,single,application
46,Simulated-annealing,annealing,simulated,
47,cosine-similarity,cosine,similarity,
48,Shortest-path,path,shortest,
49,Shopping-cart,cart,shopping,
50,openshift,open,shift,
51,C-sharp,c,sharp,
52,micro-service,micro,service,
53,sentiment-analysis,analysis,sentiment,
54,Self-driving,driving,self,
55,bfs,breadth,search,search
56,Javase,java,se,
57,infinite-scroll,infinite,scroll,
58,Paper-scissor-rock,paper,scissor,rock
59,scikitlearn,learn,scikit,
60,data-science,data,science,
61,neuro-science,neuro,science,
62,gta,gta,sa,
63,Java-rx,java,rx,
64,cube-rubik,cube,rubik,
65,Clash-royal,clash,royale,
66,Round-robin,robin,round,
67,information-retrieval,information,retrieval,
68,czech,czech,republic,
69,hot-reload,hot,reloading,
70,hot-reload,hot,reload,
71,Regular-expression,expression,regular,
72,logistic-regression,logistic,regression,
73,map-reduce,map,reduce,
74,Augmented-reality,reality,reality,
75,virtual-reality,virtual,reality,
76,Rate-limit,limiting,rate,
77,heart-rate,heart,rate,
78,Rate-limit,limiter,rate,
79,Raspberry-pi,pi,raspberry,
80,Random-forest,forest,random,
81,answer-question,answer,question,
82,Qr-code,code,qr,
83,pillow-python,pillow,python,
84,Push-notification,notification,push,
85,alpha-pruning,alpha,pruning,
86,beta-pruning,beta,pruning,
87,ha-proxy,ha,proxy,
88,Project-euler,euler,project,
89,pwa,application,progressive,web
90,functional-programming,functional,programming,
91,Object-oriented,object,programming,oriented
92,best-practice,best,practice,
93,harry-potter,harry,potter,
94,indoor-positioning,indoor,positioning,
95,Ping-pong,ping,pong,
96,cpp,c,plus,
97,notepad,notepad,plus,
98,cross-platform,cross,platform,
99,chart,chart,pie,
100,html,html,pesonal,
101,github,github,pesonal,
102,page,page,pesonal,
103,academy,academy,pesonal,
104,Multi-layer-perceptron,multilayer,perceptron,
105,color-palette,color,palette,
106,fault-tolerance,landing,page,
107,Web-os,web,os,
108,Object-oriented,object,oriented,
109,higher-order,higher,order,
110,Opinion-mining,mining,opinion,
111,connect-openid,connect,openid,
112,jupyter-notebook,jupyter,notebook,
113,andrew-ng,andrew,ng,
114,cnn,convolutional,neural,network
115,rnn,Recurrent,neural,network
116,Neural-network,neural,network,
117,Generative-adversarial-network,adversarial,network,generative
118,Asp-net,asp,net,
119,Asp-net,asp,net,core
120,nearest-neighbour,nearest,neighbour,
121,Bottom-navigation-view,bottom,navigation,view
122,Naive-bayes,bayes,naive,
123,ngram,gram,n,
124,leap-motion,leap,motion,
125,Monte-carlo,carlo,monte,
126,hidden-model,hidden,model,
127,bare-metal,bare,metal,
128,Machine-learning,learing,mechine,
129,Hidden-markov-chain,hidden,markov,chain
130,decision-making,decision,making,
131,e-mail,e,mail,
132,Virtual-machine,virtual,machine,
133,Lorem-ipsum,ipsum,lorem,
134,checklist,checklist,list,
135,arch-linux,arch,linux,
136,kali-linux,kali,linux,
137,command-line,command,line,
138,Reinforcement-learning,reinforcement,learning,
139,Deep-learning,deep,learning,
140,Machine-learning,machine,learning,
141,Natural-language-processing,language,natural,
142,Natural-language-processing,natural,language,processing
143,gitlab,git,lab,
144,kubectl-kubernetes,kubectl,kubernetes,
145,javaee,ee,java,
146,artificial-intelligence,artificial,intelligence,
147,Artificial-inteligence,artificial,inteligencia,
148,ci,continuous,integration,
149,dependency-injection,dependency,injection,
150,code-igniter,code,igniter,
151,convex-hull,convex,hull,
152,Hill-climb,climb,hill,
153,diffie-hellman,diffie,hellman,
154,Gradient-descent,descent,gradient,
155,Google-drive,drive,google,
156,Java-fx,java,fx,
157,beginner-friendly,beginner,friendly,
158,freecampcode,code,freecamp,
159,Fraud-detection,detection,fraud,
160,connect-four,connect,four,
161,brute-force,brute,force,
162,bird-flappy,bird,flappy,
163,Collaborative-filtering,collaborative,filtering,
164,authentication,two,factor,authentication
165,Named-entity-recognition,named,entity,recognition
166,Front-end,front,end,
167,Back-end,back,end,
168,Drag-and-drop,drag,drop,
169,django-drf,django,drf,
170,lda,allocation,dirichlet,latent
171,cd,continuous,delivery,
172,Big-data,big,data,
173,course,andrew,course,
174,Smart-contract,smart,contract,
175,cipher,caesar,cipher,
176,bitcoin-cash,bitcoin,cash,
177,phpcake,php,cake,
178,java,java,build,
179,Spring-boot,spring,boot,
180,Visual-basic,visual,basic,
181,Data-base,data,base,
182,Load-balancer,load,balancer,
183,host,self,hosted,
184,Human-Pose-estimation,pose,estimation,human
185,Attention-mechanism,attention,mechanism,
186,Question-answer,answer,question,
187,Medical-imaging,imaging,medical,
188,Key-value,key,value,
189,Market-stock,market,stock,
190,Super-resoution,resolution,super,
191,Incident-response,incident,response,
192,Active-directory,active,directory,
193,Php-storm,php,storm,
194,Topic-model,model,topic,
195,Matrix-factorization,factorization,matrix,
196,Credit-card,card,credit,
197,game,counter,strike,
198,Civic-tech,civic,tech,
199,Domain-adaptation,adaptation,domain,
200,Dimensionality-reduction,dimension,reduction,
201,Circuit-breaker,breaker,circuit,
202,Finite-state,finite,state,
203,Chrome-cast,cast,chrome,
204,Markov-chain,chain,markov,
205,Single-cell,cell,single,
206,neural-network,artificial,neural,network
207,Continuous-deployment,continuous,deployment,
208,Finite-machine,finite,machine,
209,React-native,native,react,
210,Time-series,serie,time,
211,Reverse-engineering,engineer,reverse,
212,tutorial,awesome,list,
213,Pixel-art,art,pixel,
214,Visual-studio,studio,visual,
215,Visual-studio,studio,visual,code
216,Machine-translation,machine,translation,
217,design,design,material,
218,time,line,time,
219,Image-processing,image,processing,
220,Image-processing,image,process,
221,tutorial,code,learn,
222,tutorial,interview,question,
223,design,bar,progress,
224,Boot-loader,boot,loader,
225,tutorial,interview,practice,
226,Social-network,social,network,
227,Google-cloud-platform,google,cloud,platform
228,Ruby-on-rails,ruby,rail,
229,Node-red,node,red,
230,Android-studio,android,studio,
231,Linear-algebra,algebra,linear,
231,message-passing,message,pass,
231,message-passing,message,passing,
231,pattern-recognition,recognition,pattern,
231,objective-c,object,c,
231,content-management-system,content,manage,system
231,content-management-system,content,management,system
231,google-drive,google,drive,
231,continuous-integration,continuous,integration,
231,continuous-integration,continuou,integrate,
231,typescript,type,script,
231,dataflow,data,flow,
231,test,pen,test,
231,recurrent-neural-network,recurrent,neural,network
231,data-minng,data,mining,
231,web-mining,web,mining,
231,cryptocurrency,crypto,currenct,
231,support-vector-machine,support,vector,machine
231,optical-character-recognition,optical,character,recognition
231,automatic-completion,automatic,completion,
231,knowledge-base,knowledge,base,
231,knowledge-graph,knowledge,graph,
231,motion-detection,motion,detect,
231,motion-detection,motion,detection,
231,supervised-learning,supervised,learning,
231,supervised-learning,supervised,learn,
231,supervised-learning,supervise,learning,
231,supervised-learning,supervise,learn,
231,unsupervised-learning,unsupervised,learning,
231,unsupervised-learning,unsupervised,learn,
231,unsupervised-learning,unsupervise,learning,
231,unsupervised-learning,unsupervise,learn,
231,test,penetration,test,
231,genetic-algorithm,genetic,algorithm,
231,functional-programming,functional,program,
231,team-viewer,team,view,
231,team-viewer,team,viewer,